Date,Shallow_tensiometer_reading,Deep_tensiometer_reading,LiterPerPlant,Temp_max,Temp_min,Humidity,Windspeed,Rainfall (mm),Irrigation,is_synthetic
26 02 2021,18.23247722,18.25181467,0,16.85856957,10.74365399,80.26168931,5.522562529,0,0,1
26 02 2021,17.80502782,18.22865912,0,16.81261756,10.71447223,80.97013388,5.356866568,0,0,1
26 02 2021,17.7992538,18.12250516,0,17.00715167,10.76956813,81.20155929,5.378033943,0,0,1
26 02 2021,18.13018685,18.22206801,0,16.80682409,10.75783725,80.29891012,5.450691423,0,0,1
26 02 2021,17.59447244,18.14046848,0,16.91163198,10.79609279,81.86741969,5.290681604,0,0,1
26 02 2021,18.42274769,18.21286945,0,16.76426437,10.83847257,79.66496607,5.660161114,0,0,1
26 02 2021,17.74825065,18.14262279,0,16.84208115,10.75024783,80.73931412,5.455267159,0,0,1
26 02 2021,17.9531839,18.24778244,0,17.04470335,10.83996134,81.32817857,5.336885807,0,0,1
26 02 2021,17.67725571,18.40203051,0,16.90394269,10.86339845,82.16661637,5.213995746,0,0,1
26 02 2021,18.18396532,18.23833298,0,16.74062304,10.72711583,79.98571385,5.494479715,0,0,1
26 02 2021,18.0635028,18.22458042,0,16.8899525,10.81677007,80.75955137,5.449021539,0,0,1
26 02 2021,18.41374349,18.39482495,0,16.73585371,10.82852091,80.67996608,5.348240164,0,0,1
26 02 2021,18.10318104,18.19936236,0,16.85414021,10.76882056,80.48139659,5.453551184,0,0,1
26 02 2021,18.39918697,18.2812683,0,16.85776008,10.73999463,80.00225083,5.553226114,0,0,1
26 02 2021,17.86062258,18.14031365,0,16.82839775,10.69945371,80.47868103,5.501082688,0,0,1
26 02 2021,17.86345395,18.25793751,0,16.91029162,10.69725197,80.85289159,5.397080204,0,0,1
26 02 2021,17.89344019,18.17643987,0,16.82195471,10.67320056,80.46859299,5.447118651,0,0,1
26 02 2021,18.26420923,18.32004884,0,16.78097178,10.73066797,80.19243745,5.439754654,0,0,1
26 02 2021,18.02703137,18.28821963,0,16.87529767,10.79716292,81.49861275,5.299619855,0,0,1
26 02 2021,17.88567254,18.22403116,0,16.85517793,10.7570189,80.85301569,5.370455161,0,0,1
26 02 2021,17.94228794,18.28730084,0,16.9325301,10.76938991,81.07598555,5.33453119,0,0,1
26 02 2021,17.88658768,18.17695977,0,16.79775611,10.69458593,80.44717367,5.451236214,0,0,1
26 02 2021,18.07001982,18.20016011,0,16.83716102,10.73747196,80.31773784,5.501950544,0,0,1
26 02 2021,17.79516216,18.19463373,0,16.88364381,10.73214948,80.96500851,5.374953324,0,0,1
26 02 2021,18.26662889,18.21670343,0,16.87087557,10.77270381,80.11950835,5.551418271,0,0,1
26 02 2021,17.61336599,18.13035106,0,16.98664184,10.73508903,81.3471132,5.391099721,0,0,1
26 02 2021,18.02132145,18.1923701,0,16.82323596,10.72989434,80.34399158,5.496937044,0,0,1
26 02 2021,17.91733491,18.17451011,0,16.9917322,10.79641802,81.00210987,5.436808013,0,0,1
26 02 2021,17.87475826,18.25146522,0,16.93541848,10.74057825,80.89938135,5.366797714,0,0,1
26 02 2021,17.78224817,18.20650658,0,16.92260254,10.71878069,81.01750462,5.411209585,0,0,1
26 02 2021,17,18,0,16.9,10.6,81.7,5.3,0,0,0
27 02 2021,19.26674615,18.34067209,0,17.45075174,9.151773451,82.43199368,6.569271841,0,0,1
27 02 2021,18.58257609,18.07926352,0,17.58004785,8.915524165,82.15611663,6.834122163,0,0,1
27 02 2021,18.49541264,18.19529276,0,17.62241756,8.938556704,82.70200903,6.669994718,0,0,1
27 02 2021,18.95922614,18.28565626,0,17.4627359,8.956262508,81.90083621,6.699840851,0,0,1
27 02 2021,18.74110716,18.31027191,0,17.56892754,9.016158179,82.83794056,6.591965561,0,0,1
27 02 2021,19.10685511,18.20817418,0,17.47881899,8.977226812,81.3930551,6.836448513,0,0,1
27 02 2021,18.39886727,18.23320543,0,17.53375636,8.942263643,83.13969914,6.598256562,0,0,1
27 02 2021,18.782562,18.32125462,0,17.49621045,9.056067168,82.84424116,6.584821075,0,0,1
27 02 2021,18.8130397,18.33317535,0,17.5183315,8.984045314,82.56262111,6.621163075,0,0,1
27 02 2021,18.61935734,18.17129979,0,17.55639167,8.897901381,82.36155116,6.7239781,0,0,1
27 02 2021,18.74653899,18.11083638,0,17.5679104,8.91986553,82.00755752,6.818757164,0,0,1
27 02 2021,18.86521034,18.18585217,0,17.51239939,8.914548352,81.83181504,6.774261009,0,0,1
27 02 2021,18.75079433,18.14367812,0,17.48579905,8.895804789,81.87196364,6.802990435,0,0,1
27 02 2021,19.06778368,18.3568663,0,17.56469052,9.19795117,83.11771622,6.513770371,0,0,1
27 02 2021,18.64725509,18.56743448,0,17.40373612,9.273891424,83.63502336,6.433371335,0,0,1
27 02 2021,18.28743853,18.24502885,0,17.5414498,8.958282178,83.30953943,6.571856358,0,0,1
27 02 2021,19.50514143,18.27869702,0,17.34527913,9.022402904,80.57206961,6.923811771,0,0,1
27 02 2021,19.16378827,18.19192108,0,17.65420521,9.114696997,81.83608685,6.784311642,0,0,1
27 02 2021,19.46913692,18.27837752,0,17.42756973,9.033414429,80.86134067,6.829512682,0,0,1
27 02 2021,18.93747562,18.18362576,0,17.51514707,9.008799425,81.77849976,6.804266211,0,0,1
27 02 2021,19.03062297,18.21862599,0,17.47877571,8.924648372,81.51093635,6.803583435,0,0,1
27 02 2021,18.74571357,18.17430725,0,17.52108959,8.895458569,82.03862714,6.729847608,0,0,1
27 02 2021,18.6481082,18.10055608,0,17.53356771,8.935172345,82.11940164,6.794371241,0,0,1
27 02 2021,18.78106362,18.19519525,0,17.66689193,8.976894091,82.19581289,6.770547949,0,0,1
27 02 2021,18.81428056,18.16009193,0,17.57413354,8.96356711,81.99543986,6.810459854,0,0,1
27 02 2021,18.60007706,18.16499898,0,17.62540191,8.999163129,82.61565333,6.689051318,0,0,1
27 02 2021,18.8841861,18.23795358,0,17.51128807,9.008560106,82.03108071,6.7239726,0,0,1
27 02 2021,18.96576593,18.18610136,0,17.5763438,9.009394819,81.81392562,6.826338699,0,0,1
27 02 2021,18.74719814,18.18581336,0,17.5911144,8.949752574,82.25050365,6.745368684,0,0,1
27 02 2021,18.91519602,18.1605322,0,17.49799407,8.93803346,81.63435007,6.839066108,0,0,1
27 02 2021,18,18,0,17.6,8.7,83.1,6.7,0,0,0
28 02 2021,19.51207858,18.21506314,0,17.50266274,9.795289323,82.04121514,6.074011887,0.2,0,1
28 02 2021,20.03065317,18.26732492,0,17.40662904,9.724788518,80.21316136,6.262651072,0.2,0,1
28 02 2021,19.69392801,18.13563604,0,17.50693787,9.620443898,80.57238589,6.333875608,0.2,0,1
28 02 2021,19.84469217,18.27022785,0,17.54172478,9.774084425,81.34328528,6.150245624,0.2,0,1
28 02 2021,19.55368291,18.2378302,0,17.5386243,9.732363986,81.37631054,6.182915069,0.2,0,1
28 02 2021,19.95561108,18.26859113,0,17.52413946,9.681062968,80.4436683,6.297155706,0.2,0,1
28 02 2021,19.60656016,18.06274817,0,17.63030225,9.708609122,80.85641993,6.396310984,0.2,0,1
28 02 2021,19.98769948,18.22291796,0,17.45622682,9.763579102,80.37828813,6.313361827,0.2,0,1
28 02 2021,19.80655857,18.15877433,0,17.6151632,9.723701073,80.6467266,6.359385339,0.2,0,1
28 02 2021,20.18488218,18.31526562,0,17.42758061,9.809892355,79.92885456,6.335225225,0.2,0,1
28 02 2021,19.63802571,18.34822797,0,17.57093117,9.967739288,82.24183809,6.020803158,0.2,0,1
28 02 2021,19.68851781,18.36420328,0,17.61660673,9.808186002,81.60426801,6.134522627,0.2,0,1
28 02 2021,20.0485594,18.15879624,0,17.54135063,9.825474534,80.49635011,6.362167947,0.2,0,1
28 02 2021,20.46445906,18.31165692,0,17.38325193,9.739920018,79.43316551,6.332954246,0.2,0,1
28 02 2021,20.1806393,18.21368415,0,17.46180877,9.809305968,79.91532451,6.398477279,0.2,0,1
28 02 2021,19.51695334,18.11417617,0,17.53006694,9.697163942,81.41886751,6.211924395,0.2,0,1
28 02 2021,19.73624738,18.10646658,0,17.675391,9.726730814,80.85070943,6.313453191,0.2,0,1
28 02 2021,19.84901609,18.1885589,0,17.51868866,9.715558976,80.4714642,6.339841005,0.2,0,1
28 02 2021,19.84127822,18.25691089,0,17.4818781,9.791010185,81.38831027,6.148021791,0.2,0,1
28 02 2021,20.06544158,18.20266083,0,17.54107763,9.801942729,80.19287277,6.390365517,0.2,0,1
28 02 2021,19.94173324,18.25090465,0,17.45703921,9.815335632,81.36402962,6.167307597,0.2,0,1
28 02 2021,19.92296476,18.26996383,0,17.56549973,9.845840214,80.77157167,6.273245449,0.2,0,1
28 02 2021,19.93844124,18.23375181,0,17.48562589,9.71340227,80.46201358,6.256188924,0.2,0,1
28 02 2021,20.13589363,18.20946758,0,17.50676096,9.791159101,80.05778499,6.412806722,0.2,0,1
28 02 2021,19.95074338,18.20772773,0,17.44246862,9.69531461,80.16560634,6.330736334,0.2,0,1
28 02 2021,19.42967816,18.21850106,0,17.53312375,9.752798526,82.01134385,6.084323706,0.2,0,1
28 02 2021,19.70860464,18.25388373,0,17.5338605,9.705973232,80.8483763,6.257532332,0.2,0,1
28 02 2021,20.04515022,18.37768067,0,17.52584004,9.803572954,80.88315514,6.135249852,0.2,0,1
28 02 2021,19.39039727,18.43929892,0,17.53226669,9.814980147,82.07999846,6.050664638,0.2,0,1
28 02 2021,19.63328309,18.11937944,0,17.53705496,9.676131919,80.76483603,6.320483099,0.2,0,1
28 02 2021,19,18,0,17.6,9.5,81.7,6.2,0.2,0,0
01 03 2021,20.74616371,18.13111142,0,16.84377982,11.95565625,75.92491635,7.978180482,0,0,1
01 03 2021,21.23585707,18.22920248,0,16.72175799,11.96608016,75.12604639,8.003765713,0,0,1
01 03 2021,20.53216243,18.26294767,0,16.93289246,12.09880761,77.49362577,7.652349902,0,0,1
01 03 2021,21.03165793,18.30772564,0,16.8712694,11.97455635,76.10610334,7.791151359,0,0,1
